  Y (microns)    log10(active(boron))    Material
    -0.24063    5.00000e+00    polysilicon 
     0.15937    5.00000e+00    polysilicon 
     0.15937    1.37795e+01    oxide       
     0.24900    1.51126e+01    oxide       
     0.24900    1.48427e+01    silicon     
     0.33645    1.49051e+01    silicon     
     0.41576    1.49755e+01    silicon     
     0.50528    1.50354e+01    silicon     
     0.60633    1.50879e+01    silicon     
     0.72040    1.51293e+01    silicon     
     0.84917    1.51560e+01    silicon     
     0.99453    1.51638e+01    silicon     
     1.15862    1.51480e+01    silicon     
     1.34385    1.51024e+01    silicon     
     1.55294    1.50190e+01    silicon     
     1.78898    1.48875e+01    silicon     
     2.05542    1.46958e+01    silicon     
     2.35619    1.44301e+01    silicon     
     2.69571    1.40769e+01    silicon     
     3.07897    1.36245e+01    silicon     
     3.51162    1.30646e+01    silicon     
     4.00000    1.23981e+01    silicon     
     4.50615    1.16228e+01    silicon     
     5.26537    1.05184e+01    silicon     
     6.40420    9.05729e+00    silicon     
     8.11245    7.24447e+00    silicon     
    10.67482    5.35250e+00    silicon     
    14.51837    5.00192e+00    silicon     
    20.28371    5.00000e+00    silicon     
    28.93171    5.00000e+00    silicon     
    41.90371    5.00000e+00    silicon     
    61.36171    5.00000e+00    silicon     
    90.54872    5.00000e+00    silicon     
   134.32922    5.00000e+00    silicon     
   200.00000    5.00000e+00    silicon 
