Setup title,CVSweep4284_a
Application test name,CVSweep4284_a
Test date,12/10/2014
Test time,10:57:55
Device ID,
Count,11
Flags,
Remarks,
Name,Address,Osc_Level,Frequency,Integ_Time,Vstart,Vstop,Sweep_Pts,Cmax,Delay_Time,Hold_Time,Real_Time_Display
Value,17,0.02,1000000,2,-5,0,50,1E-10,0,0,1
Vsweep,Cdata,Dispersion
-5,3.07234E-12,0.0224924
-4.89795918367347,3.07415E-12,0.0221537
-4.79591836734694,3.07431E-12,0.0224125
-4.69387755102041,3.07232E-12,0.0227893
-4.59183673469388,3.07254E-12,0.0225472
-4.48979591836735,3.07166E-12,0.0226654
-4.38775510204082,3.07032E-12,0.0224588
-4.28571428571429,3.07046E-12,0.0223082
-4.18367346938776,3.07193E-12,0.0229208
-4.08163265306122,3.07283E-12,0.0225398
-3.97959183673469,3.07233E-12,0.0224674
-3.87755102040816,3.07172E-12,0.0222097
-3.77551020408163,3.0717E-12,0.022121
-3.6734693877551,3.07193E-12,0.0223539
-3.57142857142857,3.07336E-12,0.0227548
-3.46938775510204,3.0721E-12,0.0225516
-3.36734693877551,3.07215E-12,0.02251
-3.26530612244898,3.07137E-12,0.0224005
-3.16326530612245,3.07278E-12,0.0224991
-3.06122448979592,3.07184E-12,0.0224981
-2.95918367346939,3.06275E-12,0.0222519
-2.85714285714286,3.06231E-12,0.0223378
-2.75510204081633,3.06075E-12,0.0227029
-2.6530612244898,3.06046E-12,0.0225738
-2.55102040816327,3.06313E-12,0.0229439
-2.44897959183673,3.06186E-12,0.0226636
-2.3469387755102,3.06308E-12,0.0225159
-2.24489795918367,3.06029E-12,0.0227963
-2.14285714285714,3.06258E-12,0.0227837
-2.04081632653061,3.06195E-12,0.0228669
-1.93877551020408,3.06357E-12,0.0227862
-1.83673469387755,3.06205E-12,0.0223008
-1.73469387755102,3.063E-12,0.0226129
-1.63265306122449,3.05578E-12,0.0225843
-1.53061224489796,3.05483E-12,0.0226435
-1.42857142857143,3.05503E-12,0.0225221
-1.3265306122449,3.05584E-12,0.0225734
-1.22448979591837,3.05479E-12,0.0225252
-1.12244897959184,3.05518E-12,0.0226996
-1.02040816326531,3.05511E-12,0.0230664
-0.918367346938775,3.05502E-12,0.0226942
-0.816326530612245,3.05584E-12,0.0227187
-0.714285714285714,3.05626E-12,0.0220166
-0.612244897959184,3.05551E-12,0.0226158
-0.510204081632653,3.05524E-12,0.022812
-0.408163265306122,3.05595E-12,0.0230766
-0.306122448979592,3.0555E-12,0.022579
-0.204081632653061,3.05564E-12,0.0228346
-0.102040816326531,3.05606E-12,0.0226145
0,3.05714E-12,0.0230941
